session_id,timestamp,temperature,irradiation,dc_power,ac_power,Sim_dc_power,Sim_ac_power,PREDICTED_AC,ACTUAL_AC,ABS_ERROR,REL_ERROR,FAULT
1,2025-04-06 12:34:18,37.7,1042.0,76.48,73.42,100.98093,99.350733,99.350733,73.42,25.930733000000004,1.353183321549534,True
2,2025-04-06 13:32:13,38.4,1020.0,74.86,71.87,98.621444,96.920214,96.920214,71.87,25.050213999999997,1.3485487757689194,True
3,2025-04-06 13:36:00,38.4,1020.0,74.86,71.87,98.621444,96.920214,96.920214,71.87,25.050213999999997,1.3485487757689194,True
4,2025-04-06 16:42:09,37.5,343.0,25.17,24.17,32.490449,31.978841,31.978841,24.17,7.8088409999999975,1.3230793450230263,True
5,2025-04-06 16:50:05,37.3,305.0,22.39,21.49,28.776088,28.295667,28.295667,21.49,6.805667000000003,1.316689336114781,True
6,2025-04-06 17:08:35,37.0,269.0,19.74,18.95,25.32875,24.827938,24.827938,18.95,5.877938,1.310180733413861,True
7,2025-04-06 17:14:09,37.0,269.0,19.74,18.95,25.32875,24.827938,24.827938,18.95,5.877938,1.310180733413861,True
8,2025-04-06 17:17:24,36.7,232.0,17.03,16.35,21.736971,21.306496,21.306496,16.35,4.956495999999998,1.3031488054135745,True
9,2025-04-06 17:20:53,36.7,232.0,17.03,16.35,21.736971,21.306496,21.306496,16.35,4.956495999999998,1.3031488054135745,True
10,2025-04-06 17:38:48,36.5,181.0,13.28,12.75,16.762291,16.381321,16.381321,12.75,3.631321,1.284808482503151,True
11,2025-04-06 17:41:55,36.5,181.0,13.28,12.75,16.762291,16.381321,16.381321,12.75,3.631321,1.284808482503151,True
12,2025-04-06 17:44:49,36.5,181.0,13.28,12.75,16.762291,16.381321,16.381321,12.75,3.631321,1.284808482503151,True
13,2025-04-06 17:57:15,36.2,138.0,10.13,9.72,12.656441,12.300654,12.300654,9.72,2.580653999999999,1.2654980807632914,True
14,2025-04-06 18:02:15,35.7,100.0,7.34,7.05,8.996544,8.665821,8.665821,7.05,1.6158209999999995,1.2291927245493268,True
15,2025-04-10 16:59:11,32.4,356.0,26.13,25.08,34.342172,33.807284,33.807284,25.08,8.727284000000004,1.347977293469979,True
21,2025-04-11 11:27:33,32.5,842.0,61.8,59.33,82.803457,81.571146,81.571146,59.33,22.241146,1.3748716037634243,True
22,2025-04-26 09:51:19,33.3,729.0,53.5,51.36,71.362926,70.475942,70.475942,51.36,19.115942000000004,1.3721948652268565,True
23,2025-04-26 12:21:09,38.8,1027.0,75.38,72.36,99.165783,97.567122,97.567122,72.36,25.207122,1.3483569446715111,True
24,2025-04-26 12:24:20,38.8,1027.0,75.38,72.36,99.165783,97.567122,97.567122,72.36,25.207122,1.3483569446715111,True
25,2025-06-08 10:30:40,26.8,661.0,48.51,46.57,65.924903,65.104511,65.104511,46.57,18.534511000000002,1.3979922057135052,True
26,2025-06-08 10:34:32,26.8,661.0,48.51,46.57,65.924903,65.104511,65.104511,46.57,18.534511000000002,1.3979922057135052,True
27,2025-06-08 17:31:28,25.7,188.0,13.8,13.25,18.161389,17.778227,17.778227,13.25,4.528227000000001,1.3417519684890804,True
28,2025-06-09 07:14:01,23.0,88.0,6.46,6.2,8.320064,8.0074,8.0074,6.2,1.8074000000000003,1.2915140459450873,True
29,2025-06-09 12:08:51,28.6,656.0,48.15,46.22,65.061753,64.22981,64.22981,46.22,18.00981,1.389653745206892,True
30,2025-06-09 12:14:13,28.6,656.0,48.15,46.22,65.061753,64.22981,64.22981,46.22,18.00981,1.389653745206892,True
