timestamp,session_id,temperature,irradiation,dc_power,ac_power
2025-04-06 12:34:18,1,37.7,1042.0,76.48,73.42
2025-04-06 13:32:13,2,38.4,1020.0,74.86,71.87
2025-04-06 13:36:00,3,38.4,1020.0,74.86,71.87
2025-04-06 16:42:09,4,37.5,343.0,25.17,24.17
2025-04-06 16:50:05,5,37.3,305.0,22.39,21.49
2025-04-06 17:08:35,6,37.0,269.0,19.74,18.95
2025-04-06 17:14:09,7,37.0,269.0,19.74,18.95
2025-04-06 17:17:24,8,36.7,232.0,17.03,16.35
2025-04-06 17:20:53,9,36.7,232.0,17.03,16.35
2025-04-06 17:38:48,10,36.5,181.0,13.28,12.75
2025-04-06 17:41:55,11,36.5,181.0,13.28,12.75
2025-04-06 17:44:49,12,36.5,181.0,13.28,12.75
2025-04-06 17:57:15,13,36.2,138.0,10.13,9.72
2025-04-06 18:02:15,14,35.7,100.0,7.34,7.05
2025-04-10 16:59:11,15,32.4,356.0,26.13,25.08
2025-04-10 19:29:06,16,29.0,0.0,0.0,0.0
2025-04-10 19:33:38,17,28.6,0.0,0.0,0.0
2025-04-10 19:48:58,18,28.2,0.0,0.0,0.0
2025-04-11 06:03:43,19,23.0,0.0,0.0,0.0
2025-04-11 11:23:27,20,32.5,842.0,61.8,59.33
2025-04-11 11:27:33,21,32.5,842.0,61.8,59.33
2025-04-26 09:51:19,22,33.3,729.0,53.5,51.36
2025-04-26 12:21:09,23,38.8,1027.0,75.38,72.36
2025-04-26 12:24:20,24,38.8,1027.0,75.38,72.36
2025-06-08 10:30:40,25,26.8,661.0,48.51,46.57
2025-06-08 10:34:32,26,26.8,661.0,48.51,46.57
2025-06-08 17:31:28,27,25.7,188.0,13.8,13.25
2025-06-09 07:14:01,28,23.0,88.0,6.46,6.2
2025-06-09 12:08:51,29,28.6,656.0,48.15,46.22
2025-06-09 12:14:13,30,28.6,656.0,48.15,46.22
